id,name,address,city,county,state,zip,plan,specialty,type
4548,21st Century Oncology of California A Medical Corporation,11190 Warner Ave,Fountain Valley,Orange,CA,92708,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4549,21st Century Oncology of California A Medical Corporation,1211 W La Palma Ave,Anaheim,Orange,CA,92801,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4550,21st Century Oncology of California A Medical Corporation,1316 Nelson Ave,Modesto,Stanislaus,CA,95350,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4551,21st Century Oncology of California A Medical Corporation,18300 Roscoe Blvd,Northridge,Los Angeles,CA,91325,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4552,21st Century Oncology of California A Medical Corporation,210 W San Bernardino Rd,Covina,Los Angeles,CA,91723,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4553,21st Century Oncology of California A Medical Corporation,2428 Santa Monica Blvd,Santa Monica,Los Angeles,CA,90404,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4554,21st Century Oncology of California A Medical Corporation,345 Terracina Blvd,Redlands,San Bernardino,CA,92373,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4555,21st Century Oncology of California A Medical Corporation,3951 Katella Ave,Los Alamitos,Orange,CA,90720,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4556,21st Century Oncology of California A Medical Corporation,40055 Bob Hope Dr,Rancho Mirage,Riverside,CA,92270,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4557,21st Century Oncology of California A Medical Corporation,58295 29 Palms Hwy,Yucca Valley,San Bernardino,CA,92284,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4558,21st Century Oncology of California A Medical Corporation,77840 Flora Rd,Palm Desert,Riverside,CA,92211,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4559,21st Century Oncology of California A Medical Corporation,860 N Park View Dr,El Segundo,Los Angeles,CA,90245,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4560,A K Bhattacharyya Mdinc,1090 La Playa Dr,Hayward,Alameda,CA,94545,CA - BS of California,Neurology,ACO
4561,A K Bhattacharyya Mdinc,2182 East St,Concord,Contra Costa,CA,94520,CA - BS of California,Neurology,ACO
4562,A K Bhattacharyya Mdinc,2485 High School Ave,Concord,Contra Costa,CA,94520,CA - BS of California,Neurology,ACO
4563,A K Bhattacharyya Mdinc,3505 Lone Tree Way,Antioch,Contra Costa,CA,94509,CA - BS of California,Neurology,ACO
4564,A K Bhattacharyya Mdinc,3755 Beacon Ave,Fremont,Alameda,CA,94538,CA - BS of California,Neurology,ACO
4565,A K Bhattacharyya Mdinc,844 S Dora St,Ukiah,Mendocino,CA,95482,CA - BS of California,Neurology,ACO
4566,A Reza Moattari MD Inc,1441 Avocado Ave,Newport Beach,Orange,CA,92660,CA - Anthem BC,Internal Medicine,ACO
