id,name,address,city,county,state,zip,plan,specialty,type
243569,Abbott Northwestern General Medicine Associates,2855 Campus Dr,Plymouth,Hennepin,MN,55441,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243570,Abbott Northwestern General Medicine Associates,800 E 28th St,Minneapolis,Hennepin,MN,55407,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243571,Abbott Northwestern General Medicine Associates,8100 W 78th St,Edina,Hennepin,MN,55439,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243572,Abbott Northwestern Hospital,800 E 28th St,Minneapolis,Hennepin,MN,55407,MN - BCBS of Minnesota,Rehabilitation Hospital,ACO
243573,Abbott Northwestern Hospital An Allina Facility,800 E 28th St,Minneapolis,Hennepin,MN,55407,MN - BCBS of Minnesota,General Acute Care Hospital,ACO
243574,Abbott Northwestern Intensivists,800 E 28th St,Minneapolis,Hennepin,MN,55407,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243575,Abbott Northwestern Professional Services,2805 Campus Dr,Plymouth,Hennepin,MN,55441,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243576,Abbott Northwestern Professional Services,2925 Chicago Ave,Minneapolis,Hennepin,MN,55407,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243577,Abbott Northwestern Professional Services,800 E 28th St,Minneapolis,Hennepin,MN,55407,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243578,Advancements In Allergy & Asthma Care LTD,12450 Wayzata Blvd,Minnetonka,Hennepin,MN,55305,MN - BCBS of Minnesota,Allergy & Immunology,ACO
243579,Aesthetic and Plastic Surgery PA,12000 Elm Creek Blvd N,Maple Grove,Hennepin,MN,55369,MN - BCBS of Minnesota,Plastic Surgery,ACO
243580,Affiliated Community Medical Centers East,611 S Sibley Ave,Litchfield,Meeker,MN,55355,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,PCMH
243581,Affiliated Community Medical Centers PA Benson,1810 McKinney Ave,Benson,Swift,MN,56215,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,PCMH
243582,Affiliated Community Medical Centers PA Granite,295 10th Ave,Granite Falls,Yellow Medicine,MN,56241,MN - BCBS of Minnesota,Family Practice,PCMH
243583,Affiliated Community Medical Centers PA Litchfiel,520 S Sibley Ave,Litchfield,Meeker,MN,55355,MN - BCBS of Minnesota,Family Practice,PCMH
243584,Affiliated Community Medical Centers PA Marshall,1521 Carlson St,Marshall,Lyon,MN,56258,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,PCMH
243585,Affiliated Community Medical Centers PA New Londn,600 Peterson Pkwy,New London,Kandiyohi,MN,56273,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,PCMH
243586,Affiliated Community Medical Centers PA Redwood,1100 E Broadway St,Redwood Falls,Redwood,MN,56283,MN - BCBS of Minnesota,Family Practice,PCMH
243587,Affiliated Community Medical Centers PA Willmar,101 Willmar Ave SW,Willmar,Kandiyohi,MN,56201,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,PCMH
243588,Affiliated Community Medical Centers PA Willmar,101 Willmar Ave SW,Willmar,Kandiyohi,MN,56201,MN - BCBS of Minnesota,Urgent Care Center,PCMH
243589,Affiliated Community Medical Centers PA Willmar,1604 1st St S,Willmar,Kandiyohi,MN,56201,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,PCMH
243590,All About Children Pediatrics,12200 Middle Set Rd,Eden Prairie,Hennepin,MN,55344,MN - BCBS of Minnesota,Pediatrics,ACO
243591,Allergy & Asthma Specialists PA,2805 Campus Dr,Plymouth,Hennepin,MN,55441,MN - BCBS of Minnesota,Allergy & Immunology,ACO
243592,Allergy & Asthma Specialists PA,825 Nicollet Mall,Minneapolis,Hennepin,MN,55402,MN - BCBS of Minnesota,Allergy & Immunology,ACO
243593,Allergy & Asthma Specialists PA,9825 Hospital Dr,Maple Grove,Hennepin,MN,55369,MN - BCBS of Minnesota,Allergy & Immunology,ACO
243594,Allina Health Annandale Clinic,440 Elm St E,Annandale,Wright,MN,55302,MN - BCBS of Minnesota,Family Practice,ACO
243595,Allina Health Bandana Square Clinic,1021 Bandana Blvd E,Saint Paul,Ramsey,MN,55108,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243596,Allina Health Bandana Square Clinic,1021 Bandana Blvd E,Saint Paul,Ramsey,MN,55108,MN - BCBS of Minnesota,Urgent Care Center,ACO
243597,Allina Health Blaine Clinic,10705 Town Square Dr NE,Blaine,Anoka,MN,55449,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243598,Allina Health Bloomington Clinic,7920 Old Cedar Ave S,Bloomington,Hennepin,MN,55425,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243599,Allina Health Brooklyn Park Clinic,9300 Noble Pkwy N,Brooklyn Park,Hennepin,MN,55443,MN - BCBS of Minnesota,Family Practice,ACO
243600,Allina Health Burnsville Clinic,14000 Nicollet Ave,Burnsville,Dakota,MN,55337,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243601,Allina Health Burnsville Clinic,14000 Nicollet Ave,Burnsville,Dakota,MN,55337,MN - BCBS of Minnesota,Urgent Care Center,ACO
243602,Allina Health Burnsville Clinic,20795 Keokuk Ave,Lakeville,Dakota,MN,55044,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243603,Allina Health Burnsville Clinic,6350 W 143rd St,Savage,Scott,MN,55378,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243604,Allina Health Burnsville Clinic,7373 France Ave S,Edina,Hennepin,MN,55435,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243605,Allina Health Burnsville Clinic,7770 Dell Rd,Chanhassen,Carver,MN,55317,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243606,Allina Health Cambridge Clinic,701 Dellwood St S,Cambridge,Isanti,MN,55008,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
243607,Allina Health Cambridge Clinic,701 Dellwood St S,Cambridge,Isanti,MN,55008,MN - BCBS of Minnesota,Urgent Care Center,ACO
243608,Allina Health Champlin Clinic,11269 Jefferson Hwy N,Champlin,Hennepin,MN,55316,MN - BCBS of Minnesota,Multi-Specialty Clinic or other Group Practice,ACO
